BLOCO,REGIÃO GEOGRÁFICA,PAÍS,RESERVA PETRÓLEO,ANO,PAIS_INGLES,ISO3
OPEP,África,Congo,2.981,2018,Congo,COG
OPEP,África,Congo,1.947,2019,Congo,COG
OPEP,África,Congo,1.811,2020,Congo,COG
OPEP,África,Congo,1.811,2021,Congo,COG
OPEP,África,Congo,1.811,2022,Congo,COG
OPEP,África,Congo,1.811,2023,Congo,COG
NÃO OPEP,África,Egito,4.4,2014,Egypt,EGY
NÃO OPEP,África,Egito,4.4,2015,Egypt,EGY
NÃO OPEP,África,Egito,4.4,2016,Egypt,EGY
NÃO OPEP,África,Egito,4.4,2017,Egypt,EGY
NÃO OPEP,África,Egito,3.051,2018,Egypt,EGY
NÃO OPEP,África,Egito,3.278,2019,Egypt,EGY
NÃO OPEP,África,Egito,3.124,2020,Egypt,EGY
NÃO OPEP,África,Egito,3.015,2021,Egypt,EGY
NÃO OPEP,África,Egito,3.015,2022,Egypt,EGY
NÃO OPEP,África,Egito,3.015,2023,Egypt,EGY
OPEP,África,Gabão,2.0,2014,Gabon,GAB
OPEP,África,Gabão,2.0,2015,Gabon,GAB
OPEP,África,Gabão,2.0,2016,Gabon,GAB
OPEP,África,Gabão,2.0,2017,Gabon,GAB
OPEP,África,Gabão,2.0,2018,Gabon,GAB
OPEP,África,Gabão,2.0,2019,Gabon,GAB
OPEP,África,Gabão,2.0,2020,Gabon,GAB
OPEP,África,Gabão,2.0,2021,Gabon,GAB
OPEP,África,Gabão,2.0,2022,Gabon,GAB
OPEP,África,Gabão,2.0,2023,Gabon,GAB
NÃO OPEP,África,Gana,0.7,2014,Ghana,GHA
NÃO OPEP,África,Gana,0.684,2015,Ghana,GHA
NÃO OPEP,África,Gana,0.681,2016,Ghana,GHA
NÃO OPEP,África,Gana,0.681,2017,Ghana,GHA
NÃO OPEP,África,Gana,0.657,2018,Ghana,GHA
NÃO OPEP,África,Gana,0.657,2019,Ghana,GHA
NÃO OPEP,África,Gana,0.657,2020,Ghana,GHA
NÃO OPEP,África,Gana,0.657,2021,Ghana,GHA
NÃO OPEP,África,Gana,0.657,2022,Ghana,GHA
NÃO OPEP,África,Gana,0.657,2023,Ghana,GHA
OPEP,África,Guiné-Equatorial,1.1,2014,Equatorial Guinea,GNQ
OPEP,África,Guiné-Equatorial,1.1,2015,Equatorial Guinea,GNQ
OPEP,África,Guiné-Equatorial,1.1,2016,Equatorial Guinea,GNQ
OPEP,África,Guiné-Equatorial,1.1,2017,Equatorial Guinea,GNQ
OPEP,África,Guiné-Equatorial,1.1,2018,Equatorial Guinea,GNQ
OPEP,África,Guiné-Equatorial,1.1,2019,Equatorial Guinea,GNQ
OPEP,África,Guiné-Equatorial,1.1,2020,Equatorial Guinea,GNQ
OPEP,África,Guiné-Equatorial,1.1,2021,Equatorial Guinea,GNQ
OPEP,África,Guiné-Equatorial,1.1,2022,Equatorial Guinea,GNQ
OPEP,África,Guiné-Equatorial,1.1,2023,Equatorial Guinea,GNQ
OPEP,África,Líbia,48.4,2014,Libya,LBY
OPEP,África,Líbia,48.363,2015,Libya,LBY
OPEP,África,Líbia,48.363,2016,Libya,LBY
OPEP,África,Líbia,48.363,2017,Libya,LBY
OPEP,África,Líbia,48.363,2018,Libya,LBY
OPEP,África,Líbia,48.363,2019,Libya,LBY
OPEP,África,Líbia,48.363,2020,Libya,LBY
OPEP,África,Líbia,48.363,2021,Libya,LBY
OPEP,África,Líbia,48.363,2022,Libya,LBY
OPEP,África,Líbia,48.363,2023,Libya,LBY
OPEP,África,Nigéria,37.4,2014,Nigeria,NGA
OPEP,África,Nigéria,37.062,2015,Nigeria,NGA
OPEP,África,Nigéria,37.453,2016,Nigeria,NGA
OPEP,África,Nigéria,37.453,2017,Nigeria,NGA
OPEP,África,Nigéria,36.972,2018,Nigeria,NGA
OPEP,África,Nigéria,36.89,2019,Nigeria,NGA
OPEP,África,Nigéria,36.91,2020,Nigeria,NGA
OPEP,África,Nigéria,37.05,2021,Nigeria,NGA
OPEP,África,Nigéria,36.967,2022,Nigeria,NGA
OPEP,África,Nigéria,36.884,2023,Nigeria,NGA
NÃO OPEP,África,Serra Leoa,0.0,2014,Sierra Leone,SLE
NÃO OPEP,África,Serra Leoa,0.438,2015,Sierra Leone,SLE
NÃO OPEP,África,Serra Leoa,0.438,2016,Sierra Leone,SLE
NÃO OPEP,África,Serra Leoa,0.438,2017,Sierra Leone,SLE
NÃO OPEP,África,Serra Leoa,0.438,2018,Sierra Leone,SLE
NÃO OPEP,África,Serra Leoa,0.438,2019,Sierra Leone,SLE
NÃO OPEP,África,Serra Leoa,0.438,2020,Sierra Leone,SLE
NÃO OPEP,África,Serra Leoa,0.438,2021,Sierra Leone,SLE
NÃO OPEP,África,Serra Leoa,0.438,2022,Sierra Leone,SLE
NÃO OPEP,África,Serra Leoa,0.438,2023,Sierra Leone,SLE
NÃO OPEP,África,Sudão,1.5,2014,Sudan,SDN
NÃO OPEP,África,Sudão,1.5,2015,Sudan,SDN
NÃO OPEP,África,Sudão,1.5,2016,Sudan,SDN
NÃO OPEP,África,Sudão,1.5,2017,Sudan,SDN
NÃO OPEP,África,Sudão,1.489,2018,Sudan,SDN
NÃO OPEP,África,Sudão,1.489,2019,Sudan,SDN
NÃO OPEP,África,Sudão,1.475,2020,Sudan,SDN
NÃO OPEP,África,Sudão,1.475,2021,Sudan,SDN
NÃO OPEP,África,Sudão,1.475,2022,Sudan,SDN
NÃO OPEP,África,Sudão,1.475,2023,Sudan,SDN
NÃO OPEP,África,Sudão do Sul,3.5,2014,South Sudan,SSD
NÃO OPEP,África,Sudão do Sul,3.5,2015,South Sudan,SSD
NÃO OPEP,África,Sudão do Sul,3.5,2016,South Sudan,SSD
NÃO OPEP,África,Sudão do Sul,3.5,2017,South Sudan,SSD
NÃO OPEP,África,Sudão do Sul,3.5,2018,South Sudan,SSD
NÃO OPEP,África,Sudão do Sul,3.5,2019,South Sudan,SSD
NÃO OPEP,África,Sudão do Sul,3.5,2020,South Sudan,SSD
NÃO OPEP,África,Sudão do Sul,3.5,2021,South Sudan,SSD
NÃO OPEP,África,Sudão do Sul,3.5,2022,South Sudan,SSD
NÃO OPEP,África,Sudão do Sul,3.5,2023,South Sudan,SSD
NÃO OPEP,África,Tunísia,0.4,2014,Tunisia,TUN
NÃO OPEP,África,Tunísia,0.425,2015,Tunisia,TUN
NÃO OPEP,África,Tunísia,0.425,2016,Tunisia,TUN
NÃO OPEP,África,Tunísia,0.425,2017,Tunisia,TUN
NÃO OPEP,África,Tunísia,0.402,2018,Tunisia,TUN
NÃO OPEP,África,Tunísia,0.394,2019,Tunisia,TUN
NÃO OPEP,África,Tunísia,0.402,2020,Tunisia,TUN
NÃO OPEP,África,Tunísia,0.423,2021,Tunisia,TUN
NÃO OPEP,África,Tunísia,0.423,2022,Tunisia,TUN
NÃO OPEP,África,Tunísia,0.423,2023,Tunisia,TUN
NÃO OPEP,Ásia-Pacífico,Austrália,4.0,2014,Australia,AUS
NÃO OPEP,Ásia-Pacífico,Austrália,3.985,2015,Australia,AUS
NÃO OPEP,Ásia-Pacífico,Austrália,3.985,2016,Australia,AUS
NÃO OPEP,Ásia-Pacífico,Austrália,3.985,2017,Australia,AUS
NÃO OPEP,Ásia-Pacífico,Austrália,2.46,2018,Australia,AUS
NÃO OPEP,Ásia-Pacífico,Austrália,2.453,2019,Australia,AUS
NÃO OPEP,Ásia-Pacífico,Austrália,1.789,2020,Australia,AUS
NÃO OPEP,Ásia-Pacífico,Austrália,1.621,2021,Australia,AUS
NÃO OPEP,Ásia-Pacífico,Austrália,1.621,2022,Australia,AUS
NÃO OPEP,Ásia-Pacífico,Austrália,1.621,2023,Australia,AUS
NÃO OPEP,Ásia-Pacífico,Brunei,1.1,2014,Brunei,BRN
NÃO OPEP,Ásia-Pacífico,Brunei,1.1,2015,Brunei,BRN
NÃO OPEP,Ásia-Pacífico,Brunei,1.1,2016,Brunei,BRN
NÃO OPEP,Ásia-Pacífico,Brunei,1.1,2017,Brunei,BRN
NÃO OPEP,Ásia-Pacífico,Brunei,1.095,2018,Brunei,BRN
NÃO OPEP,Ásia-Pacífico,Brunei,1.095,2019,Brunei,BRN
NÃO OPEP,Ásia-Pacífico,Brunei,1.095,2020,Brunei,BRN
NÃO OPEP,Ásia-Pacífico,Brunei,1.095,2021,Brunei,BRN
NÃO OPEP,Ásia-Pacífico,Brunei,1.095,2022,Brunei,BRN
NÃO OPEP,Ásia-Pacífico,Brunei,1.095,2023,Brunei,BRN
NÃO OPEP,Ásia-Pacífico,China,24.5,2014,China,CHN
NÃO OPEP,Ásia-Pacífico,China,25.061,2015,China,CHN
NÃO OPEP,Ásia-Pacífico,China,25.519,2016,China,CHN
NÃO OPEP,Ásia-Pacífico,China,25.526,2017,China,CHN
NÃO OPEP,Ásia-Pacífico,China,25.927,2018,China,CHN
NÃO OPEP,Ásia-Pacífico,China,26.154,2019,China,CHN
NÃO OPEP,Ásia-Pacífico,China,26.023,2020,China,CHN
NÃO OPEP,Ásia-Pacífico,China,26.491,2021,China,CHN
NÃO OPEP,Ásia-Pacífico,China,27.003,2022,China,CHN
NÃO OPEP,Ásia-Pacífico,China,27.889,2023,China,CHN
NÃO OPEP,Ásia-Pacífico,Índia,5.7,2014,India,IND
NÃO OPEP,Ásia-Pacífico,Índia,4.535,2015,India,IND
NÃO OPEP,Ásia-Pacífico,Índia,4.409,2016,India,IND
NÃO OPEP,Ásia-Pacífico,Índia,4.409,2017,India,IND
NÃO OPEP,Ásia-Pacífico,Índia,4.42,2018,India,IND
NÃO OPEP,Ásia-Pacífico,Índia,4.42,2019,India,IND
NÃO OPEP,Ásia-Pacífico,Índia,4.61,2020,India,IND
NÃO OPEP,Ásia-Pacífico,Índia,3.67,2021,India,IND
NÃO OPEP,Ásia-Pacífico,Índia,3.572,2022,India,IND
NÃO OPEP,Ásia-Pacífico,Índia,3.964,2023,India,IND
NÃO OPEP,Ásia-Pacífico,Indonésia,3.3,2014,Indonesia,IDN
NÃO OPEP,Ásia-Pacífico,Indonésia,3.23,2015,Indonesia,IDN
NÃO OPEP,Ásia-Pacífico,Indonésia,3.23,2016,Indonesia,IDN
NÃO OPEP,Ásia-Pacífico,Indonésia,3.23,2017,Indonesia,IDN
NÃO OPEP,Ásia-Pacífico,Indonésia,3.17,2018,Indonesia,IDN
NÃO OPEP,Ásia-Pacífico,Indonésia,3.15,2019,Indonesia,IDN
NÃO OPEP,Ásia-Pacífico,Indonésia,2.48,2020,Indonesia,IDN
NÃO OPEP,Ásia-Pacífico,Indonésia,2.44,2021,Indonesia,IDN
NÃO OPEP,Ásia-Pacífico,Indonésia,2.25,2022,Indonesia,IDN
NÃO OPEP,Ásia-Pacífico,Indonésia,2.27,2023,Indonesia,IDN
NÃO OPEP,Ásia-Pacífico,Malásia,5.8,2014,Malaysia,MYS
NÃO OPEP,Ásia-Pacífico,Malásia,5.907,2015,Malaysia,MYS
NÃO OPEP,Ásia-Pacífico,Malásia,5.907,2016,Malaysia,MYS
NÃO OPEP,Ásia-Pacífico,Malásia,5.907,2017,Malaysia,MYS
NÃO OPEP,Ásia-Pacífico,Malásia,3.6,2018,Malaysia,MYS
NÃO OPEP,Ásia-Pacífico,Malásia,3.6,2019,Malaysia,MYS
NÃO OPEP,Ásia-Pacífico,Malásia,3.6,2020,Malaysia,MYS
NÃO OPEP,Ásia-Pacífico,Malásia,3.6,2021,Malaysia,MYS
NÃO OPEP,Ásia-Pacífico,Malásia,3.6,2022,Malaysia,MYS
NÃO OPEP,Ásia-Pacífico,Malásia,3.6,2023,Malaysia,MYS
NÃO OPEP,Ásia-Pacífico,Mongólia,0.0,2014,Mongolia,MNG
NÃO OPEP,Ásia-Pacífico,Mongólia,0.257,2015,Mongolia,MNG
NÃO OPEP,Ásia-Pacífico,Mongólia,0.257,2016,Mongolia,MNG
NÃO OPEP,Ásia-Pacífico,Mongólia,0.257,2017,Mongolia,MNG
NÃO OPEP,Ásia-Pacífico,Mongólia,0.256,2018,Mongolia,MNG
NÃO OPEP,Ásia-Pacífico,Mongólia,0.314,2019,Mongolia,MNG
NÃO OPEP,Ásia-Pacífico,Mongólia,0.314,2020,Mongolia,MNG
NÃO OPEP,Ásia-Pacífico,Mongólia,0.314,2021,Mongolia,MNG
NÃO OPEP,Ásia-Pacífico,Mongólia,0.314,2022,Mongolia,MNG
NÃO OPEP,Ásia-Pacífico,Mongólia,0.314,2023,Mongolia,MNG
NÃO OPEP,Ásia-Pacífico,Paquistão,0.3,2014,Pakistan,PAK
NÃO OPEP,Ásia-Pacífico,Paquistão,0.257,2015,Pakistan,PAK
NÃO OPEP,Ásia-Pacífico,Paquistão,0.256,2016,Pakistan,PAK
NÃO OPEP,Ásia-Pacífico,Paquistão,0.256,2017,Pakistan,PAK
NÃO OPEP,Ásia-Pacífico,Paquistão,0.343,2018,Pakistan,PAK
NÃO OPEP,Ásia-Pacífico,Paquistão,0.336,2019,Pakistan,PAK
NÃO OPEP,Ásia-Pacífico,Paquistão,0.533,2020,Pakistan,PAK
NÃO OPEP,Ásia-Pacífico,Paquistão,0.533,2021,Pakistan,PAK
NÃO OPEP,Ásia-Pacífico,Paquistão,0.533,2022,Pakistan,PAK
NÃO OPEP,Ásia-Pacífico,Paquistão,0.441,2023,Pakistan,PAK
NÃO OPEP,Ásia-Pacífico,Tailândia,0.4,2014,Thailand,THA
NÃO OPEP,Ásia-Pacífico,Tailândia,0.396,2015,Thailand,THA
NÃO OPEP,Ásia-Pacífico,Tailândia,0.396,2016,Thailand,THA
NÃO OPEP,Ásia-Pacífico,Tailândia,0.396,2017,Thailand,THA
NÃO OPEP,Ásia-Pacífico,Tailândia,0.321,2018,Thailand,THA
NÃO OPEP,Ásia-Pacífico,Tailândia,0.299,2019,Thailand,THA
NÃO OPEP,Ásia-Pacífico,Tailândia,0.102,2020,Thailand,THA
NÃO OPEP,Ásia-Pacífico,Tailândia,0.153,2021,Thailand,THA
NÃO OPEP,Ásia-Pacífico,Tailândia,0.153,2022,Thailand,THA
NÃO OPEP,Ásia-Pacífico,Tailândia,0.175,2023,Thailand,THA
NÃO OPEP,Ásia-Pacífico,Vietnã,4.4,2014,Vietnam,VNM
NÃO OPEP,Ásia-Pacífico,Vietnã,4.4,2015,Vietnam,VNM
NÃO OPEP,Ásia-Pacífico,Vietnã,4.4,2016,Vietnam,VNM
NÃO OPEP,Ásia-Pacífico,Vietnã,4.4,2017,Vietnam,VNM
NÃO OPEP,Ásia-Pacífico,Vietnã,4.373,2018,Vietnam,VNM
NÃO OPEP,Ásia-Pacífico,Vietnã,4.373,2019,Vietnam,VNM
NÃO OPEP,Ásia-Pacífico,Vietnã,4.344,2020,Vietnam,VNM
NÃO OPEP,Ásia-Pacífico,Vietnã,4.344,2021,Vietnam,VNM
NÃO OPEP,Ásia-Pacífico,Vietnã,4.344,2022,Vietnam,VNM
NÃO OPEP,Ásia-Pacífico,Vietnã,4.344,2023,Vietnam,VNM
